City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,North Mankato,US,44.1733,-94.0339,30.99,86,90,18.41,light snow
80,Aswan,EG,24.0934,32.907,60.76,32,0,9.66,clear sky
81,Tura,IN,25.5198,90.2201,52.36,41,0,1.36,clear sky
82,Port Alfred,ZA,-33.5906,26.891,68.0,87,5,0.76,clear sky
83,Tasiilaq,GL,65.6145,-37.6368,15.8,41,75,17.27,broken clouds
84,Butaritari,KI,3.0707,172.7902,80.83,77,95,16.31,overcast clouds
85,Kalabo,ZM,-14.97,22.6814,73.31,80,76,4.74,broken clouds
86,Half Moon Bay,US,37.4636,-122.4286,52.0,66,90,5.75,overcast clouds
87,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,80,75,12.66,broken clouds
88,Lagoa,PT,39.05,-27.9833,62.28,90,16,31.07,few clouds
89,Narsaq,GL,60.9167,-46.05,41.0,30,75,35.68,broken clouds
90,Escarcega,MX,18.6089,-90.7454,81.9,46,50,4.97,scattered clouds
91,Kodiak,US,57.79,-152.4072,32.0,55,1,25.32,clear sky
92,Golden,US,39.7555,-105.2211,51.01,27,40,9.22,scattered clouds
93,Norman Wells,CA,65.282,-126.8329,-27.4,68,75,2.3,broken clouds
94,Ust-Ilimsk,RU,58.0006,102.6619,-41.53,79,40,3.22,scattered clouds
95,Loandjili,CG,-4.7561,11.8578,84.2,89,75,9.22,light rain
96,Verkhoyansk,RU,67.5447,133.385,-44.09,75,89,0.4,overcast clouds
97,Marzuq,YE,14.4,46.4667,63.81,63,0,4.81,clear sky
98,Cidreira,BR,-30.1811,-50.2056,81.39,81,46,9.24,scattered clouds
99,Souillac,MU,-20.5167,57.5167,78.8,89,75,5.75,broken clouds
100,Kem,RU,64.9555,34.5793,17.2,97,100,4.38,overcast clouds
101,Saskylakh,RU,71.9167,114.0833,-37.35,79,46,8.46,scattered clouds
102,Chokurdakh,RU,70.6333,147.9167,-29.0,85,3,7.07,clear sky
103,Baykit,RU,61.67,96.37,-34.47,75,19,2.19,few clouds
104,Naze,JP,28.3667,129.4833,51.15,68,0,8.86,clear sky
105,Avarua,CK,-21.2078,-159.775,78.8,89,99,1.14,light rain
106,Rosetta,EG,31.4044,30.4164,62.6,55,0,12.66,clear sky
107,Baherden,TM,38.4362,57.4316,51.75,45,87,1.36,overcast clouds
108,Tsumeb,NA,-19.2333,17.7167,75.2,69,100,6.91,light rain
109,Hailey,US,43.5196,-114.3153,28.4,80,20,6.91,few clouds
110,Menomonie,US,44.8755,-91.9193,33.01,69,40,12.66,scattered clouds
111,Thompson,CA,55.7435,-97.8558,12.2,85,90,2.93,light snow
112,Tezu,IN,27.9167,96.1667,57.2,52,24,3.8,few clouds
113,Zhuhai,CN,22.2769,113.5678,66.0,72,0,9.22,clear sky
114,Bethel,US,41.3712,-73.414,23.0,45,1,8.05,clear sky
115,Coruripe,BR,-10.1256,-36.1756,83.32,66,91,13.06,overcast clouds
116,Mattru,SL,7.6244,-11.8332,88.61,50,32,8.03,scattered clouds
117,Almaznyy,RU,48.0448,40.045,41.0,75,20,6.71,few clouds
118,Ponta Do Sol,PT,32.6667,-17.1,63.0,91,40,1.83,scattered clouds
119,New Norfolk,AU,-42.7826,147.0587,53.01,76,40,4.61,scattered clouds
120,Juarez,MX,31.7333,-106.4833,54.0,34,40,17.27,scattered clouds
121,Winneba,GH,5.3511,-0.6231,84.2,79,20,12.66,few clouds
122,Filadelfia,US,39.9523,-75.1638,33.01,37,20,10.36,few clouds
123,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,5.75,broken clouds
124,Puerto Escondido,MX,15.85,-97.0667,84.2,74,1,5.75,clear sky
125,Daru,PG,-9.0763,143.2092,76.96,92,100,12.3,light rain
126,Vostok,RU,46.4856,135.8833,-20.09,88,100,3.98,overcast clouds
127,Katsuura,JP,35.1333,140.3,41.0,70,20,5.75,few clouds
128,Padang,ID,-0.9492,100.3543,77.81,74,100,4.18,overcast clouds
129,Faanui,PF,-16.4833,-151.75,80.71,68,75,2.46,broken clouds
130,Leeton,AU,-34.5667,146.4,63.0,77,0,2.3,clear sky
131,Tarakan,ID,3.3,117.6333,77.0,94,75,1.14,broken clouds
132,Rawson,AR,-43.3002,-65.1023,66.22,40,1,17.78,clear sky
133,La Rioja,ES,42.25,-2.5,39.0,90,35,7.0,scattered clouds
134,Cherskiy,RU,68.75,161.3,-35.55,83,4,3.98,clear sky
135,Coihaique,CL,-45.5752,-72.0662,66.2,39,20,10.36,few clouds
136,Bonavista,CA,48.6499,-53.1147,30.0,93,98,4.61,overcast clouds
137,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,0,4.61,light rain
138,Jalu,LY,29.0331,21.5482,65.16,36,0,9.89,clear sky
