City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
308,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
309,Takoradi,GH,81.93,light rain,4.8845,-1.7554,Raybow International Hotel
311,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
313,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
316,Sumenep,ID,77.58,light rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
317,Ilhabela,BR,83.84,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
322,Salinopolis,BR,80.73,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
323,Mauriti,BR,78.8,light rain,-7.3892,-38.7744,Hotel Pedra da Letra
324,Panji,ID,75.81,light rain,-7.7253,114.0995,warung manda
326,Caravelas,BR,84.27,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
332,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Acajutla,SV,80.6,few clouds,13.5928,-89.8275,asi es
335,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
338,Ilebo,CD,75.02,moderate rain,-4.3167,20.5833,Hôtel des palmes
340,Yeppoon,AU,75.2,few clouds,-23.1333,150.7333,Villa Mar Colina
351,Manokwari,ID,78.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
355,Balabac,PH,80.17,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
359,Santa Cruz Del Norte,CU,75.2,scattered clouds,23.1539,-81.9236,Felipon Pon Pon
365,Itarema,BR,86.31,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
367,Hambantota,LK,77.77,overcast clouds,6.1241,81.1185,Bungalow 63
370,Huarmey,PE,77.54,overcast clouds,-10.0681,-78.1522,Hotel Miramar
371,Ternate,ID,77.97,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
375,Bubaque,GW,80.02,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
381,Nyanguge,TZ,77.0,scattered clouds,-2.55,33.2,Kisandu Guest House
393,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
400,Namatanai,PG,80.64,overcast clouds,-3.6667,152.4333,Namatanai Hotel
402,Ende,ID,77.23,moderate rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
404,Funadhoo,MV,81.52,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
407,Kimberley,ZA,80.6,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
420,Richards Bay,ZA,77.16,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
424,Porto Velho,BR,86.0,broken clouds,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
426,Moyale,KE,75.06,clear sky,3.5167,39.0584,La Tahzan Guest House
436,Kirakira,SB,78.31,overcast clouds,-10.4544,161.9205,SanBiz Lodge
438,Rabaul,PG,81.64,moderate rain,-4.1967,152.1721,Rabaul Hotel
439,Port Hedland,AU,84.2,light rain,-20.3167,118.5667,The Esplanade Hotel
441,Vryburg,ZA,75.79,overcast clouds,-26.9566,24.7284,Times Premier Lodge
448,Atar,MR,84.97,few clouds,20.5169,-13.0499,Oumou Elghoura
453,Reynosa,MX,81.0,broken clouds,26.0833,-98.2833,Hotel El Camino Inn & Suites
456,Cacule,BR,88.45,scattered clouds,-14.5033,-42.2222,Radar Palace Hotel
457,Amahai,ID,78.33,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
470,Nouadhibou,MR,87.8,broken clouds,20.930999999999997,-17.0347,El Medina
471,Pimentel,PE,82.4,clear sky,-6.8367,-79.9342,Casona Del Muelle
473,Gulu,UG,81.14,overcast clouds,2.7746,32.299,ACHOLI INN
484,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
