City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nikolskoye,RU,2021-01-27 18:41:37,59.7035,30.7861,33.8,93,75,6.71
68,Lata,PT,2021-01-27 18:41:37,40.1629,-8.3327,59.0,93,100,2.8
69,Airai,TL,2021-01-27 18:41:37,-8.9266,125.4092,61.54,100,100,3.4
70,Punta Arenas,CL,2021-01-27 18:41:37,-53.15,-70.9167,50.0,50,75,26.46
71,Sawakin,SD,2021-01-27 18:41:38,19.1059,37.3321,77.36,74,3,1.99
72,Saint-Georges,GD,2021-01-27 18:41:38,12.0564,-61.7485,86.0,58,40,19.57
73,Evensk,RU,2021-01-27 18:41:38,61.95,159.2333,-8.18,88,100,12.48
74,Puerto Ayora,EC,2021-01-27 18:41:38,-0.7393,-90.3518,84.2,70,75,13.8
75,Stornoway,GB,2021-01-27 18:38:53,58.2093,-6.3865,37.4,75,20,10.36
76,Prince Rupert,CA,2021-01-27 18:39:54,54.3161,-130.3201,33.8,80,1,6.91
77,Hobart,AU,2021-01-27 18:39:03,-42.8794,147.3294,54.0,58,90,6.91
78,Hokitika,NZ,2021-01-27 18:41:39,-42.7167,170.9667,57.79,82,14,12.68
79,Atuona,PF,2021-01-27 18:41:39,-9.8,-139.0333,78.22,77,1,16.67
80,Victoria,HK,2021-01-27 18:38:04,22.2855,114.1577,64.0,85,5,9.55
81,Ushuaia,AR,2021-01-27 18:39:29,-54.8,-68.3,44.6,70,40,19.57
82,Arraial Do Cabo,BR,2021-01-27 18:41:39,-22.9661,-42.0278,89.6,51,0,27.63
83,Mar Del Plata,AR,2021-01-27 18:41:39,-38.0023,-57.5575,69.8,56,0,13.8
84,Middelburg,ZA,2021-01-27 18:41:39,-25.7751,29.4648,67.64,77,98,6.62
85,Alto Parana,BR,2021-01-27 18:41:40,-23.1289,-52.3189,77.52,85,100,8.23
86,Manadhoo,MV,2021-01-27 18:41:40,5.7667,73.3833,80.69,69,35,12.5
87,Sangar,RU,2021-01-27 18:41:40,63.9242,127.4739,-53.28,72,100,1.66
88,Qaanaaq,GL,2021-01-27 18:41:40,77.484,-69.3632,-15.05,64,0,7.67
89,Cape Town,ZA,2021-01-27 18:41:07,-33.9258,18.4232,68.0,68,20,23.02
90,Shingu,JP,2021-01-27 18:41:40,33.7333,135.9833,48.18,61,60,5.5
91,Meulaboh,ID,2021-01-27 18:41:41,4.1363,96.1285,76.77,85,100,4.83
92,San Patricio,US,2021-01-27 18:41:41,28.017,-97.5169,71.6,23,75,20.71
93,Moose Factory,CA,2021-01-27 18:41:41,51.2585,-80.6094,5.0,72,90,11.5
94,Fortuna,US,2021-01-27 18:41:41,40.5982,-124.1573,46.99,93,75,21.85
95,San Jeronimo,PE,2021-01-27 18:41:41,-11.9472,-75.2829,63.32,49,100,4.61
96,Mago,RU,2021-01-27 18:41:41,53.2514,140.1822,-2.42,92,100,4.79
97,Lincoln,US,2021-01-27 18:37:14,40.8,-96.667,23.0,68,20,5.75
98,Smithers,CA,2021-01-27 18:41:42,54.7804,-127.1743,21.2,63,90,11.5
99,Tabou,CI,2021-01-27 18:41:42,4.423,-7.3528,79.12,81,12,5.82
100,Aberdeen,GB,2021-01-27 18:41:42,57.1437,-2.0981,30.99,100,87,3.44
101,Tungor,RU,2021-01-27 18:41:43,53.3808,142.9564,10.04,96,100,13.2
102,Shimoda,JP,2021-01-27 18:37:50,34.6667,138.95,41.0,70,100,1.99
103,Katobu,ID,2021-01-27 18:41:43,-4.9408,122.5276,75.87,92,100,3.09
104,Severo-Kurilsk,RU,2021-01-27 18:41:43,50.6789,156.125,25.29,93,100,7.92
105,Marzuq,YE,2021-01-27 18:41:43,14.4,46.4667,59.7,59,0,2.04
106,Lebu,CL,2021-01-27 18:41:43,-37.6167,-73.65,61.43,66,100,10.07
107,Krasnoselkup,RU,2021-01-27 18:41:43,65.7,82.4667,-38.18,82,29,5.19
108,Abha,SA,2021-01-27 18:41:43,18.2164,42.5053,60.8,58,0,5.75
109,Avarua,CK,2021-01-27 18:41:44,-21.2078,-159.775,84.2,70,20,17.27
110,Cidreira,BR,2021-01-27 18:41:44,-30.1811,-50.2056,75.63,88,100,1.59
111,Grand Gaube,MU,2021-01-27 18:41:44,-20.0064,57.6608,78.01,81,1,6.38
112,Paita,PE,2021-01-27 18:41:44,-5.0892,-81.1144,86.0,54,0,18.41
113,Rajpura,IN,2021-01-27 18:38:31,30.4831,76.595,47.77,55,0,5.03
114,Olafsvik,IS,2021-01-27 18:41:44,64.8945,-23.7142,30.78,87,97,17.0
115,Bezhanitsy,RU,2021-01-27 18:41:44,56.9767,29.8907,30.63,98,95,1.99
116,Tasiilaq,GL,2021-01-27 18:41:45,65.6145,-37.6368,16.7,88,100,10.29
117,Coihaique,CL,2021-01-27 18:41:35,-45.5752,-72.0662,55.4,58,75,11.5
118,Vaini,TO,2021-01-27 18:41:45,-21.2,-175.2,75.2,94,75,10.36
119,Castelnaudary,FR,2021-01-27 18:41:45,43.3183,1.9545,57.99,94,90,11.5
120,Berezovyy,RU,2021-01-27 18:41:45,51.6667,135.7,-10.25,87,100,1.66
121,Ishigaki,JP,2021-01-27 18:38:50,24.3448,124.1572,64.92,78,89,17.05
122,Riyadh,SA,2021-01-27 18:37:38,24.6877,46.7219,69.8,28,0,10.36
